동성교회,2청1진1팀,2청1진
수정교회,2청1진2팀,2청1진
동해포도원교회,2청1진3팀,2청1진
엘림교회,2청1진4팀,2청1진
대흥교회,2청1진5팀,2청1진
어단우리교회,2청2진1팀,2청2진
강인교회,2청2진2팀,2청2진
새생명교회,2청2진3팀,2청2진
정동교회,2청2진4팀,2청2진
위촌리교회,2청3진1팀,2청3진
예수사랑교회,2청3진2팀,2청3진
운산교회,2청3진3팀,2청3진
성덕교회,2청3진4팀,2청3진
임마누엘순복음교회,2청3진5팀,2청3진
다사랑교회,2청3진6팀,2청3진
신기중앙교회,2청4진1팀,2청4진
삼척중앙교회,2청4진2팀,2청4진
삼척남부교회,2청4진3팀,2청4진
관동명성교회,2청4진4팀,2청4진
선한교회,2청4진5팀,2청4진
소명교회,2청4진6팀,2청4진
언약의교회,2청5진1팀,2청5진
벧엘교회,2청5진2팀,2청5진
병산그리스도의 교회,2청5진3팀,2청5진
맑은샘교회,2청5진4팀,2청5진
동일교회,2청5진5팀,2청5진
강문교회,2청5진6팀,2청5진
동해흰돌교회,2청6진1팀,2청6진
정라진교회,2청6진2팀,2청6진
큰사랑순복음교회,2청6진3팀,2청6진
늘푸른교회,2청6진4팀,2청6진
임마누엘교회(장로),2청6진5팀,2청6진
옥계장로교회,서울역사랑나눔부,서울역사랑나눔부
산계교회,서울역사랑나눔부,서울역사랑나눔부
소망감리교회,청장년1진1팀,청장년1진
동해새중앙교회,청장년1진2팀,청장년1진
기쁨의교회,청장년1진3팀,청장년1진
삼척브니엘교회,청장년2진1팀,청장년2진
덕산교회,청장년2진2팀,청장년2진
대진교회,청장년2진3팀,청장년2진
새힘교회,청장년3진1팀,청장년3진
에덴교회,청장년3진2팀,청장년3진
한라소망교회,청장년4진1팀,청장년4진
고양리교회,청장년4진2팀,청장년4진
한사랑교회,청장년4진3팀,청장년4진
산성그리스도의교회,청장년5진1팀,청장년5진
강릉사랑교회,청장년5진2팀,청장년5진
부광교회,청장년6진1팀,청장년6진
가평교회,청장년6진2팀,청장년6진
문암교회,청장년6진3팀,청장년6진
임계행복한교회,SIF팀,SIF팀
